GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
enumerados,com.docencia.fechas.ejercicio11,FechasLocalDateTime11,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio10,FechasLocalTime10,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.enumerados.ejercicio10,PiezaAjedrez,0,39,0,0,0,2,0,1,0,1
enumerados,com.docencia.enumerados.ejercicio10,ValorPieza,10,46,6,6,3,9,5,7,0,4
enumerados,com.docencia.expresionesregulares.ejercicio10,RegexTelefonoEs,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio8,RegexHora24h,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio9,RegexCodigoPostalEs,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio6,RegexIpv4,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio17,FechasConversion17,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio16,FechasDuration16,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio7,RegexColorHex,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio19,FechasZonas19,10,5,0,0,2,1,2,1,2,1
enumerados,com.docencia.expresionesregulares.ejercicio4,RegexFechaBasica,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio18,FechasLaborables18,16,25,5,3,4,9,3,4,0,3
enumerados,com.docencia.expresionesregulares.ejercicio5,RegexEmailSimple,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio13,FechasInstant13,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio2,RegexPalabraMinusculas,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio3,RegexCodigoProducto,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio12,FechasZonedDateTime12,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio15,FechasPeriod15,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio1,RegexSoloDigitos,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio14,FechasYearMonth14,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio20,FechasAgenda20,0,15,0,0,0,3,0,3,0,3
