GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
enumerados,com.docencia.fechas.ejercicio4,FechasZonedDateTime4,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.enumerados.ejercicio8,AplicadorDescuento,4,35,2,4,1,8,2,6,0,4
enumerados,com.docencia.enumerados.ejercicio8,TipoDescuento,0,27,0,0,0,2,0,1,0,1
enumerados,com.docencia.enumerados.ejercicio9,ClasificadorTicket,9,30,8,6,3,5,8,4,0,4
enumerados,com.docencia.enumerados.ejercicio9,TipoTicket,0,27,0,0,0,2,0,1,0,1
enumerados,com.docencia.fechas.ejercicio3,FechasLocalDateTime3,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.enumerados.ejercicio6,GestorIncidencias,2,25,2,3,1,6,2,5,0,4
enumerados,com.docencia.enumerados.ejercicio6,Prioridad,0,21,0,0,0,2,0,1,0,1
enumerados,com.docencia.fechas.ejercicio6,FechasYearMonth6,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.fechas.ejercicio5,FechasInstant5,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.enumerados.ejercicio7,FlujoPedido,8,25,6,4,3,5,6,4,0,4
enumerados,com.docencia.enumerados.ejercicio7,EstadoPedido,0,33,0,0,0,2,0,1,0,1
enumerados,com.docencia.fechas.ejercicio2,FechasLocalTime2,0,19,0,0,0,4,0,4,0,4
enumerados,com.docencia.fechas.ejercicio1,FechasLocalDate1,0,18,0,0,0,4,0,4,0,4
enumerados,com.docencia.enumerados.ejercicio1,Calendario,9,29,4,2,1,5,4,4,1,4
enumerados,com.docencia.enumerados.ejercicio1,DiaSemana,0,45,0,0,0,2,0,1,0,1
enumerados,com.docencia.fechas.ejercicio8,FechasDuration8,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.enumerados.ejercicio4,Calculadora,18,38,8,6,6,7,8,5,0,4
enumerados,com.docencia.enumerados.ejercicio4,Operacion,0,27,0,0,0,2,0,1,0,1
enumerados,com.docencia.enumerados.ejercicio5,EnvioService,6,28,4,4,3,7,4,5,0,4
enumerados,com.docencia.enumerados.ejercicio5,TipoEnvio,0,21,0,0,0,2,0,1,0,1
enumerados,com.docencia.fechas.ejercicio7,FechasPeriod7,0,15,0,0,0,3,0,3,0,3
enumerados,com.docencia.enumerados.ejercicio2,ColorSemaforo,0,21,0,0,0,2,0,1,0,1
enumerados,com.docencia.enumerados.ejercicio2,ControlSemaforo,8,24,5,3,4,6,5,4,0,4
enumerados,com.docencia.fechas.ejercicio9,FechasLocalDate9,0,23,0,2,0,6,0,4,0,3
enumerados,com.docencia.enumerados.ejercicio3,NivelAcceso,0,21,0,0,0,2,0,1,0,1
enumerados,com.docencia.enumerados.ejercicio3,ValidadorAcceso,2,20,1,5,1,3,2,5,1,3
enumerados,com.docencia.expresionesregulares.ejercicio13,RegexPalabraRepetida,0,20,0,0,0,4,0,4,0,4
enumerados,com.docencia.expresionesregulares.ejercicio14,RegexHashtags,2,36,1,3,0,9,1,5,0,4
enumerados,com.docencia.expresionesregulares.ejercicio11,RegexUrlHttp,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio12,RegexPasswordFuerte,0,14,0,0,0,3,0,3,0,3
enumerados,com.docencia.expresionesregulares.ejercicio15,RegexLineaLog,0,24,0,0,0,5,0,5,0,5
enumerados,com.docencia,NotaFinal,326,0,36,0,57,0,25,0,7,0
enumerados,com.docencia.colecciones.ejercicio1,ProcesadorRegistros,17,48,3,11,5,10,2,8,0,3
enumerados,com.docencia.colecciones.ejercicio1,Registro,5,8,0,0,1,3,1,1,1,1
enumerados,com.docencia.colecciones.ejercicio1,RegistroTexto,5,14,0,0,1,4,1,2,1,2
enumerados,com.docencia.colecciones.ejercicio1,RegistroNumero,0,17,0,0,0,5,0,3,0,3
enumerados,com.docencia.colecciones.ejercicio3,Inventario,19,47,2,8,6,10,1,7,0,3
enumerados,com.docencia.colecciones.ejercicio3,ProductoDigital,10,7,0,0,2,3,2,1,2,1
enumerados,com.docencia.colecciones.ejercicio3,Producto,0,13,0,0,0,4,0,2,0,2
enumerados,com.docencia.colecciones.ejercicio3,ProductoPerecedero,10,9,0,0,2,3,2,1,2,1
enumerados,com.docencia.colecciones.ejercicio2,Evento,0,23,0,0,0,6,0,4,0,4
enumerados,com.docencia.colecciones.ejercicio2,AgendaEventos,7,28,0,4,2,6,0,5,0,3
enumerados,com.docencia.colecciones.ejercicio2,EventoPublico,5,4,0,0,1,2,1,1,1,1
enumerados,com.docencia.colecciones.ejercicio2,EventoPrivado,5,4,0,0,1,2,1,1,1,1
enumerados,com.docencia.colecciones.ejercicio5,MensajeEmail,0,14,0,0,0,4,0,2,0,2
enumerados,com.docencia.colecciones.ejercicio5,MensajeSms,0,14,0,0,0,4,0,2,0,2
enumerados,com.docencia.colecciones.ejercicio5,Notificador,23,43,0,8,4,9,0,7,0,3
enumerados,com.docencia.colecciones.ejercicio5,Mensaje,0,13,0,0,0,4,0,2,0,2
enumerados,com.docencia.colecciones.ejercicio4,Empleado,5,8,0,0,1,3,1,1,1,1
enumerados,com.docencia.colecciones.ejercicio4,Nomina,22,39,1,7,5,8,2,6,1,3
enumerados,com.docencia.colecciones.ejercicio4,EmpleadoFijo,0,17,0,0,0,5,0,3,0,3
enumerados,com.docencia.colecciones.ejercicio4,EmpleadoPorHoras,0,20,0,0,0,6,0,3,0,3
