GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio8,MapaPagos,41,23,6,0,10,5,7,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio1,Alumno,0,39,0,2,0,12,0,8,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio1,Persona,5,65,1,5,2,18,2,10,1,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio1,Profesor,0,35,0,2,0,10,0,7,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio4,ListaAnimales,17,138,3,19,2,33,5,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio5,MapaFiguras,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio4,MapaAnimales,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio3,ListaEmpleados,22,141,4,20,3,34,6,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio7,MapaDispositivos,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio2,ListaVehiculos,23,149,5,21,3,34,7,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio6,MapaCuentasBancarias,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio1,ListaPersonas,29,157,5,21,4,37,7,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio8,ListaPagos,17,137,2,18,2,33,4,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio1,MapaPersonas,51,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio7,ListaDispositivos,17,139,3,19,2,33,5,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio6,ListaCuentasBancarias,22,144,4,20,3,34,6,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio3,MapaEmpleados,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio5,ListaFiguras,17,139,3,19,2,33,5,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio2,MapaVehiculos,55,23,12,0,12,5,10,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio10,ConjuntoDocumentos,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio7,Telefono,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio7,Dispositivo,2,58,1,7,1,15,1,9,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio7,Portatil,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio6,CuentaBancaria,2,59,1,5,1,15,1,9,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio6,CuentaCorriente,0,30,0,2,0,9,0,6,0,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio6,CuentaAhorro,0,30,0,2,0,9,0,6,0,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio9,Producto,2,66,1,7,1,17,1,10,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio9,Libro,0,21,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio9,Electronica,0,21,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio8,Pago,2,58,1,7,1,15,1,9,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio8,PagoTarjeta,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio8,PagoEfectivo,0,23,0,0,0,6,0,4,0,4
